Circuit,Type,Direction,Location,Country,Last length used,Turns,Latitude,Longitude,Grands Prix held,from,to,isActivePeriod,CircuitLocationID
Silverstone Circuit,Race circuit,Clockwise,Silverstone,United Kingdom,5.891 km (3.660 mi),18,52.0711,-1.0161,59,1965,1965,False,18634
Silverstone Circuit,Race circuit,Clockwise,Silverstone,United Kingdom,5.891 km (3.660 mi),18,52.0711,-1.0161,59,1967,1967,False,18634
Silverstone Circuit,Race circuit,Clockwise,Silverstone,United Kingdom,5.891 km (3.660 mi),18,52.0711,-1.0161,59,1969,1969,False,18634
Silverstone Circuit,Race circuit,Clockwise,Silverstone,United Kingdom,5.891 km (3.660 mi),18,52.0711,-1.0161,59,1971,1971,False,18634
Silverstone Circuit,Race circuit,Clockwise,Silverstone,United Kingdom,5.891 km (3.660 mi),18,52.0711,-1.0161,59,1973,1973,False,18634
Silverstone Circuit,Race circuit,Clockwise,Silverstone,United Kingdom,5.891 km (3.660 mi),18,52.0711,-1.0161,59,1975,1975,False,18634
Silverstone Circuit,Race circuit,Clockwise,Silverstone,United Kingdom,5.891 km (3.660 mi),18,52.0711,-1.0161,59,1977,1977,False,18634
Silverstone Circuit,Race circuit,Clockwise,Silverstone,United Kingdom,5.891 km (3.660 mi),18,52.0711,-1.0161,59,1979,1979,False,18634
Silverstone Circuit,Race circuit,Clockwise,Silverstone,United Kingdom,5.891 km (3.660 mi),18,52.0711,-1.0161,59,1981,1981,False,18634
Silverstone Circuit,Race circuit,Clockwise,Silverstone,United Kingdom,5.891 km (3.660 mi),18,52.0711,-1.0161,59,1983,1983,False,18634
Silverstone Circuit,Race circuit,Clockwise,Silverstone,United Kingdom,5.891 km (3.660 mi),18,52.0711,-1.0161,59,1985,1985,False,18634
Silverstone Circuit,Race circuit,Clockwise,Silverstone,United Kingdom,5.891 km (3.660 mi),18,52.0711,-1.0161,59,1987,2025,True,18634
Sochi Autodrom,Race circuit,Clockwise,Sochi,Russia,5.848 km (3.634 mi),15,43.4103,39.9683,8,2014,2021,False,87735
Suzuka International Racing Course,Race circuit,Part clockwise and part anti-clockwise (figure eight),Suzuka,Japan,5.807 km (3.608 mi),18,34.8417,136.5389,35,1987,2006,False,60239
Suzuka International Racing Course,Race circuit,Part clockwise and part anti-clockwise (figure eight),Suzuka,Japan,5.807 km (3.608 mi),18,34.8417,136.5389,35,2009,2019,False,60239
Suzuka International Racing Course,Race circuit,Part clockwise and part anti-clockwise (figure eight),Suzuka,Japan,5.807 km (3.608 mi),18,34.8417,136.5389,35,2022,2025,True,60239
TI Circuit Aida,Race circuit,Clockwise,Mimasaka,Japan,3.703 km (2.301 mi),11,34.915,134.2211,2,1994,1995,False,59662
Valencia Street Circuit,Street circuit,Clockwise,Valencia,Spain,5.419 km (3.367 mi),25,39.4588,-0.3256,5,2008,2012,False,27668
Watkins Glen International,Race circuit,Clockwise,Watkins Glen,United States,5.430 km (3.374 mi),10,42.3369,-76.9269,20,1961,1980,False,57850
Yas Marina Circuit,Race circuit,Anti-clockwise,Abu Dhabi,United Arab Emirates,5.281 km (3.281 mi),15,24.4672,54.6031,16,2009,2025,True,19921
Zeltweg Airfield,Road circuit,Clockwise,Zeltweg,Austria,3.186 km (1.980 mi),4,47.2022,14.7422,1,1964,1964,False,80657
